merchant_id,shop_code,NAME
1298077705000184,313,武汉十升店
1298077705000185,314,武汉武胜店
1298077705000186,319,武汉洪山广场店
1298077705000187,323,武汉建设大道店
1298077705000188,332,武汉光谷店
1298077705000189,335,武汉钟家村店
1298077705000190,336,武汉二七店
1298077705000191,362,武汉后湖店
1298077705000192,216,长沙芙蓉店
1298077705000193,330,长沙贺龙店
1298077705000194,333,长沙韶山南路店
1298077705000195,351,南昌青云谱店
1298077705000196,359,南昌上海路店
1298077705000197,125,合肥长江店
1298077705000198,127,合肥环球广场店
1298077705000199,191,合肥宝业店
1298077705000200,368,合肥肥西名邦店
1298077705000201,130,郑州北环店
1298077705000202,337,郑州花园店
1298077705000203,338,郑州金水店
1298077705000204,122,徐州金帝店
1298077705000205,367,徐州复兴店
1978078801000000,178,苏州福星店
1978078801000001,192,盐城建湖汇文店
1978078801000002,107,上海天山路店
1978078801000003,120,杭州涌金店
1978078801000004,246,惠州惠阳万联店
1978078801000005,247,四会海伦堡店
1978078801000006,251,中山远洋店
1978078801000007,253,中山新悦店
1978078801000008,243,珠海吉大店
1978078801000009,234,福州宝龙店
1978078801000010,352,曲靖翠峰店
1978078801000011,331,南充文化路店
1978078801000012,242,贵阳文昌店
1978078801000013,358,达州大竹新华店
1978078801000014,028,乌鲁木齐大巴扎   店
1978078801000015,035,乌鲁木齐南湖店
1978078801000016,327,乌鲁木齐苏州路店
1978078801000017,077,廊坊万达店
1978078801000018,087,涿州范阳路店
1978078801000019,025,济南公共汽车站店
1978078801000020,075,太原长风店
1978078801000021,089,秦皇岛秦皇大街店
1978078801000022,081,呼和浩特大学西街店
1978078801000023,078,哈尔滨平房店
1978078801000024,093,大连瓦房店
1978078801000025,366,武汉武昌府店
1978078801000026,371,襄阳中原店
1978078801000027,329,株洲车站路店
1978078801000028,195,安庆华茂店
1784077702000001,514532,家乐福店
